"tabla_nombre","columna_nombre","columna_defecto","columna_nulo","columna_tipo_dato","columna_longitud","columna_descripcion","columna_dominio"
"actividad","idactividad","nextval('actividad_idactividad_seq'::regclass)","NO","integer",32,NULL,NULL
"actividad","nombreactividad",NULL,"NO","character varying",60,NULL,NULL
"categoriaservicio","idcategoriaservicio","nextval('categoriaservicio_idcategoriaservicio_seq'::regclass)","NO","integer",32,NULL,NULL
"categoriaservicio","nombrecategoriaservicio",NULL,"NO","character varying",60,NULL,NULL
"cliente","estadocliente",NULL,"NO","boolean",NULL,NULL,NULL
"cliente","sexo",NULL,"NO","character",1,NULL,NULL
"cliente","idmunicipio",NULL,"NO","integer",32,NULL,NULL
"cliente","eps",NULL,"NO","character varying",60,NULL,NULL
"cliente","idusuario",NULL,"NO","integer",32,NULL,NULL
"cliente","numerocontacto",NULL,"NO","character varying",15,NULL,NULL
"cliente","idcliente","nextval('cliente_idcliente_seq'::regclass)","NO","integer",32,NULL,NULL
"cliente","direccion",NULL,"NO","character varying",40,NULL,NULL
"cliente","tipodesangre",NULL,"NO","character varying",3,NULL,NULL
"departamento","codigodepartamento",NULL,"NO","integer",32,NULL,NULL
"departamento","iddepartamento","nextval('departamento_iddepartamento_seq'::regclass)","NO","integer",32,NULL,NULL
"departamento","idpais",NULL,"NO","integer",32,NULL,NULL
"departamento","nombredepartamento",NULL,"NO","character varying",60,NULL,NULL
"detallepaqueteservicio","valorserviciopaquete",NULL,"YES","numeric",15,NULL,NULL
"detallepaqueteservicio","cantidadserviciopaquete",NULL,"NO","integer",32,NULL,NULL
"detallepaqueteservicio","iddetallepaqueteservicio","nextval('detallepaqueteservicio_iddetallepaqueteservicio_seq'::regclass)","NO","integer",32,NULL,NULL
"detallepaqueteservicio","idservicio",NULL,"NO","integer",32,NULL,NULL
"detallepaqueteservicio","idpaquete",NULL,"NO","integer",32,NULL,NULL
"detallereservaviajero","idcliente",NULL,"NO","integer",32,NULL,NULL
"detallereservaviajero","iddetallereservaviajero","nextval('detallereservaviajero_iddetallereservaviajero_seq'::regclass)","NO","integer",32,NULL,NULL
"detallereservaviajero","idreserva",NULL,"NO","integer",32,NULL,NULL
"municipio","idmunicipio","nextval('municipio_idmunicipio_seq'::regclass)","NO","integer",32,NULL,NULL
"municipio","iddepartamento",NULL,"NO","integer",32,NULL,NULL
"municipio","nombremunicipio",NULL,"NO","character varying",60,NULL,NULL
"municipio","codigomunicipio",NULL,"NO","integer",32,NULL,NULL
"pago","estadopago",NULL,"NO","character",1,NULL,NULL
"pago","idpago","nextval('pago_idpago_seq'::regclass)","NO","integer",32,NULL,NULL
"pago","idreserva",NULL,"NO","integer",32,NULL,NULL
"pago","valorpago",NULL,"NO","numeric",15,NULL,NULL
"pago","fechapago","CURRENT_DATE","YES","date",NULL,NULL,NULL
"pago","comprobante",NULL,"NO","character varying",255,NULL,NULL
"pais","nombrepais",NULL,"NO","character varying",60,NULL,NULL
"pais","idpais","nextval('pais_idpais_seq'::regclass)","NO","integer",32,NULL,NULL
"pais","codigopais",NULL,"NO","integer",32,NULL,NULL
"paquete","nombrepaquete",NULL,"NO","character varying",60,NULL,NULL
"paquete","reservapaquete",NULL,"NO","numeric",15,NULL,NULL
"paquete","idpaquete","nextval('paquete_idpaquete_seq'::regclass)","NO","integer",32,NULL,NULL
"paquete","idactividad",NULL,"NO","integer",32,NULL,NULL
"paquete","nivelactividad",NULL,"NO","numeric",2,NULL,NULL
"paquete","idmunicipio",NULL,"NO","integer",32,NULL,NULL
"paquete","inversionpaquete",NULL,"NO","numeric",15,NULL,NULL
"permiso","nombrepermiso",NULL,"NO","character varying",60,NULL,NULL
"permiso","estadopermiso",NULL,"NO","boolean",NULL,NULL,NULL
"permiso","idpermiso","nextval('permiso_idpermiso_seq'::regclass)","NO","integer",32,NULL,NULL
"privilegio","idpermiso",NULL,"NO","integer",32,NULL,NULL
"privilegio","nombreprivilegio",NULL,"NO","character varying",60,NULL,NULL
"privilegio","idprivilegio","nextval('privilegio_idprivilegio_seq'::regclass)","NO","integer",32,NULL,NULL
"programacion","horafinrecogida",NULL,"NO","time without time zone",NULL,NULL,NULL
"programacion","fechafinalizacion",NULL,"NO","date",NULL,NULL,NULL
"programacion","horainiciorecogida",NULL,"NO","time without time zone",NULL,NULL,NULL
"programacion","idpaquete",NULL,"NO","integer",32,NULL,NULL
"programacion","fechainicioinscripcion",NULL,"NO","date",NULL,NULL,NULL
"programacion","idprogramacion","nextval('programacion_idprogramacion_seq'::regclass)","NO","integer",32,NULL,NULL
"programacion","fechafininscripcion",NULL,"NO","date",NULL,NULL,NULL
"programacion","fechaejecucion",NULL,"NO","date",NULL,NULL,NULL
"reserva","idprogramacion",NULL,"NO","integer",32,NULL,NULL
"reserva","idcliente",NULL,"NO","integer",32,NULL,NULL
"reserva","valorreserva",NULL,"NO","numeric",15,NULL,NULL
"reserva","fechareserva","CURRENT_DATE","YES","date",NULL,NULL,NULL
"reserva","idreserva","nextval('reserva_idreserva_seq'::regclass)","NO","integer",32,NULL,NULL
"reserva","estadoreserva",NULL,"NO","character",1,NULL,NULL
"rol","idrol","nextval('rol_idrol_seq'::regclass)","NO","integer",32,NULL,NULL
"rol","nombrerol",NULL,"NO","character varying",60,NULL,NULL
"rol","estadorol",NULL,"NO","boolean",NULL,NULL,NULL
"rolprivilegio","idprivilegio",NULL,"NO","integer",32,NULL,NULL
"rolprivilegio","idrolprivilegio","nextval('rolprivilegio_idrolprivilegio_seq'::regclass)","NO","integer",32,NULL,NULL
"rolprivilegio","idrol",NULL,"NO","integer",32,NULL,NULL
"servicio","idcategoriaservicio",NULL,"NO","integer",32,NULL,NULL
"servicio","idservicio","nextval('servicio_idservicio_seq'::regclass)","NO","integer",32,NULL,NULL
"servicio","estadoservicio",NULL,"NO","boolean",NULL,NULL,NULL
"servicio","valorservicio",NULL,"NO","numeric",15,NULL,NULL
"servicio","nombreservicio",NULL,"NO","character varying",60,NULL,NULL
"usuario","identificacion",NULL,"NO","character varying",60,NULL,NULL
"usuario","contrasenha",NULL,"NO","character varying",255,NULL,NULL
"usuario","idusuario","nextval('usuario_idusuario_seq'::regclass)","NO","integer",32,NULL,NULL
"usuario","estadousuario",NULL,"NO","boolean",NULL,NULL,NULL
"usuario","tipodocumento",NULL,"NO","character varying",5,NULL,NULL
"usuario","idrol",NULL,"NO","integer",32,NULL,NULL
"usuario","nombre",NULL,"NO","character varying",255,NULL,NULL
"usuario","apellido",NULL,"NO","character varying",255,NULL,NULL
"usuario","correo",NULL,"NO","character varying",255,NULL,NULL
